epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,52.7885,0.63548,1.57288,2.10447,0.98816,0.06321,0.73684,0.36296,0.32052,0.05955,0.7193,0.3579,0.30851,0.60173,1.55292,2.8617,0.91226,0.000175785,0.000175785,0.000175785
17,58.068,0.62954,1.49743,2.09475,1.00319,0.06453,0.73684,0.35574,0.31889,0.06453,0.73684,0.35574,0.29861,0.59739,1.85044,2.81338,0.91334,0.000182223,0.000182223,0.000182223
1,5.61971,0.89221,2.38472,3.19592,1.19869,0.04499,0.63158,0.10583,0.06969,0.04499,0.63158,0.10583,0.07639,0.62114,1.4966,3.23478,1.01599,0,0,0
18,63.4842,0.70012,1.31503,2.08458,0.96911,0.06453,0.73684,0.35574,0.31889,0.06453,0.73684,0.35574,0.29861,0.59739,1.85044,2.81338,0.91334,0.000188001,0.000188001,0.000188001
2,10.9269,1.08847,2.96818,3.10502,1.40818,0.04523,0.5848,0.10837,0.07045,0.04309,0.57602,0.10612,0.07778,0.61434,1.48967,3.23028,1.01207,1.63399e-05,1.63399e-05,1.63399e-05
19,68.2439,0.6958,1.69853,1.91362,1.10173,0.06484,0.73684,0.36034,0.32192,0.06484,0.73684,0.36034,0.30326,0.60196,1.86848,2.77714,0.92425,0.000193119,0.000193119,0.000193119
3,15.9436,0.96858,2.77167,3.2889,1.25034,0.04523,0.5848,0.10682,0.0725,0.04309,0.57602,0.10437,0.07492,0.60097,1.48611,3.22288,1.00358,3.20197e-05,3.20197e-05,3.20197e-05
20,73.9193,0.67831,1.37036,1.65393,0.96651,0.06484,0.73684,0.36034,0.32192,0.06484,0.73684,0.36034,0.30326,0.60196,1.86848,2.77714,0.92425,0.000197576,0.000197576,0.000197576
4,21.682,1.13062,3.15724,3.33313,1.33708,0.0471,0.60234,0.14517,0.08787,0.0471,0.60234,0.14696,0.09856,0.58066,1.37908,3.20814,0.99137,4.70394e-05,4.70394e-05,4.70394e-05
21,78.5613,0.52699,1.19286,1.5012,0.92018,0.06308,0.72807,0.36425,0.32077,0.06308,0.72807,0.36425,0.31167,0.60638,1.9393,2.74707,0.92481,0.000201374,0.000201374,0.000201374
