epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.95693,0.87406,2.38959,3.4116,1.199,0.04427,0.3538,0.1143,0.07842,0.04197,0.34503,0.11107,0.07514,0.62171,1.52828,3.43757,1.01694,0,0,0
2,6.36943,1.0766,2.98308,3.36039,1.40263,0.04525,0.3538,0.1195,0.09012,0.04288,0.34503,0.11795,0.08475,0.61584,1.48826,3.4345,1.01262,1.40071e-05,1.40071e-05,1.40071e-05
3,10.0105,0.95337,2.76191,3.53189,1.2504,0.05038,0.37135,0.13827,0.11113,0.05038,0.37135,0.13936,0.10156,0.60683,1.49361,3.42741,1.0061,2.74482e-05,2.74482e-05,2.74482e-05
4,14.096,1.13328,3.18317,3.5721,1.34055,0.04441,0.34503,0.14503,0.11942,0.04441,0.34503,0.13852,0.11114,0.5907,1.45042,3.41448,0.99539,4.03235e-05,4.03235e-05,4.03235e-05
5,17.7814,0.98064,2.69088,3.42397,1.24321,0.04465,0.39181,0.15553,0.13537,0.04963,0.45614,0.16293,0.13148,0.57646,1.29841,3.40872,0.98673,5.26329e-05,5.26329e-05,5.26329e-05
6,21.6331,0.88274,2.6824,3.37435,1.22522,0.05262,0.41813,0.16167,0.14394,0.0576,0.43567,0.16845,0.1387,0.58677,1.29331,3.40206,0.98566,6.43764e-05,6.43764e-05,6.43764e-05
7,25.1413,0.83741,2.16094,3.30584,1.13118,0.05779,0.48246,0.17496,0.15244,0.0603,0.49123,0.18217,0.15054,0.59424,1.29976,3.3969,0.98101,7.55541e-05,7.55541e-05,7.55541e-05
8,28.7036,0.76589,1.88073,3.19494,1.12516,0.06124,0.49123,0.19745,0.1704,0.06382,0.5,0.20548,0.17137,0.58759,1.3178,3.36721,0.96462,8.61658e-05,8.61658e-05,8.61658e-05
9,32.2661,0.78454,1.84863,3.23005,1.06065,0.06658,0.55556,0.26633,0.24074,0.06914,0.56433,0.27418,0.2329,0.57511,1.30966,3.3386,0.95123,9.62117e-05,9.62117e-05,9.62117e-05
10,35.4669,0.73582,1.66428,2.84547,1.06665,0.07612,0.59064,0.29198,0.2588,0.07612,0.59064,0.29476,0.25146,0.57458,1.33638,3.30957,0.93757,0.000105692,0.000105692,0.000105692
11,39.2519,0.74784,1.92967,3.08948,1.08163,0.07604,0.63743,0.33017,0.29941,0.0811,0.70175,0.34234,0.29524,0.58655,1.3274,3.27213,0.92598,0.000114606,0.000114606,0.000114606
12,42.786,0.73769,1.79167,2.90082,1.07815,0.08326,0.71053,0.35024,0.31908,0.08575,0.7193,0.35777,0.30966,0.61358,1.35566,3.23167,0.92379,0.000122954,0.000122954,0.000122954
13,46.1227,0.69002,1.64156,2.78326,0.9687,0.08667,0.72807,0.3619,0.33114,0.08667,0.72807,0.36782,0.31463,0.63429,1.37276,3.1834,0.92313,0.000130736,0.000130736,0.000130736
14,49.5621,0.76705,1.70422,2.95781,1.02784,0.09073,0.74561,0.37475,0.3391,0.08835,0.73684,0.37169,0.31219,0.62685,1.38543,3.14292,0.91535,0.000137953,0.000137953,0.000137953
