epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.10762,0.75702,1.94021,3.304,1.11178,0.0494,0.63158,0.10234,0.07515,0.0443,0.61404,0.09753,0.07636,0.55787,1.5748,3.29037,0.98307,0,0,0
2,5.84485,0.8885,2.50381,3.13007,1.27892,0.05214,0.64035,0.14972,0.10929,0.04957,0.63158,0.1458,0.11142,0.54524,1.58121,3.28344,0.97441,1.63399e-05,1.63399e-05,1.63399e-05
3,8.87945,0.88428,2.39647,3.31817,1.18844,0.05142,0.64035,0.15996,0.12229,0.04891,0.63158,0.15693,0.12474,0.52721,1.57321,3.27296,0.96146,3.20197e-05,3.20197e-05,3.20197e-05
4,12.1094,1.00197,2.804,3.37652,1.25899,0.05357,0.64912,0.158,0.12736,0.05108,0.64035,0.15473,0.12746,0.51451,1.53742,3.26316,0.95173,4.70394e-05,4.70394e-05,4.70394e-05
5,15.0591,0.8899,2.39792,3.24527,1.16101,0.05976,0.67544,0.19518,0.1646,0.05734,0.66667,0.19356,0.1708,0.50618,1.3839,3.25226,0.94201,6.13989e-05,6.13989e-05,6.13989e-05
6,18.3827,0.79142,2.21436,3.16464,1.14987,0.07031,0.7193,0.22712,0.20416,0.06797,0.71053,0.22362,0.20247,0.50648,1.36577,3.24474,0.92724,7.50984e-05,7.50984e-05,7.50984e-05
7,21.3171,0.79685,1.92892,3.03214,1.08669,0.07627,0.74561,0.26854,0.25218,0.07627,0.74561,0.26975,0.24831,0.52629,1.27681,3.23268,0.92556,8.81376e-05,8.81376e-05,8.81376e-05
8,24.5105,0.71005,1.81529,2.95924,1.08708,0.08892,0.81579,0.31432,0.29672,0.08892,0.81579,0.31622,0.29073,0.54226,1.36712,3.2237,0.91972,0.000100517,0.000100517,0.000100517
9,27.6191,0.6775,1.62593,2.95893,0.98858,0.08892,0.81579,0.31432,0.29672,0.08892,0.81579,0.31622,0.29073,0.54226,1.36712,3.2237,0.91972,0.000112236,0.000112236,0.000112236
10,30.1331,0.60922,1.52032,2.64434,0.98868,0.09016,0.82456,0.33739,0.31618,0.09016,0.82456,0.33935,0.31459,0.56493,1.4596,3.1945,0.9106,0.000123295,0.000123295,0.000123295
