epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1869,0,0,53.4584,0,0,0,0,0,0,0,0,0,0,0,66.1307,0,5.001e-05,5.001e-05,5.001e-05
2,67.6747,0,0,52.5695,0,0,0,0,0,0,0,0,0,0,0,66.376,0,0.000115535,0.000115535,0.000115535
3,94.3589,0,0,51.7406,0,0,0,0,0,0,0,0,0,0,0,66.4838,0,0.000179739,0.000179739,0.000179739
4,123.162,0,0,51.0094,0,0,0,0,0,0,0,0,0,0,0,66.4158,0,0.000242624,0.000242624,0.000242624
5,152.685,0,0,50.0117,0,0,0,0,0,0,0,0,0,0,0,66.0682,0,0.000304187,0.000304187,0.000304187
6,181.208,0,0,48.6428,0,0,0,0,0,0,0,0,0,0,0,65.8611,0,0.000364431,0.000364431,0.000364431
7,209.417,0,0,47.6852,0,0,0,0,0,0,0,0,0,0,0,66.3802,0,0.000423355,0.000423355,0.000423355
8,238.059,0,0,46.343,0,0,0,0,0,0,0,0,0,0,0,66.1786,0,0.000480958,0.000480958,0.000480958
9,265.727,0,0,44.9545,0,0,0,0,0,0,0,0,0,0,0,64.4956,0,0.000537241,0.000537241,0.000537241
10,294.998,0,0,43.8517,0,0,0,0,0,0,0,0,0,0,0,61.8342,0,0.000592203,0.000592203,0.000592203
11,322.55,0,0,43.041,0,0,0,0,0,0,0,0,0,0,0,58.3292,0,0.000645846,0.000645846,0.000645846
12,350.711,0,0,42.0652,0,0,0,0,0,0,0,0,0,0,0,55.1764,0,0.000698168,0.000698168,0.000698168
13,378.204,0,0,41.0462,0,0,0,0,0,0,0,0,0,0,0,50.9618,0,0.00074917,0.00074917,0.00074917
14,407.629,0,0,40.6068,0,0,0,0,0,0,0,0,0,0,0,48.0063,0,0.000798851,0.000798851,0.000798851
15,436.979,0,0,39.8306,0,0,0,0,0,0,0,0,0,0,0,45.1904,0,0.000847213,0.000847213,0.000847213
16,464.36,0,0,40.3837,0,0,0,0,0,0,0,0,0,0,0,45.1904,0,0.000894254,0.000894254,0.000894254
17,491.115,0,0,38.3804,0,0,0,0,0,0,0,0,0,0,0,45.1355,0,0.000939975,0.000939975,0.000939975
18,518.2,0,0,38.2582,0,0,0,0,0,0,0,0,0,0,0,45.1371,0,0.000984375,0.000984375,0.000984375
19,544.909,0,0,37.6208,0,0,0,0,0,0,0,0,0,0,0,45.1371,0,0.00102746,0.00102746,0.00102746
20,575.457,0,0,36.8222,0,0,0,0,0,0,0,0,0,0,0,42.1044,0,0.00106922,0.00106922,0.00106922
21,605.747,0,0,36.6563,0,0,0,0,0,0,0,0,0,0,0,40.4549,0,0.00110966,0.00110966,0.00110966
22,635.056,0,0,35.8587,0,0,0,0,0,0,0,0,0,0,0,40.4549,0,0.00114877,0.00114877,0.00114877
23,661.157,0,0,35.5731,0,0,0,0,0,0,0,0,0,0,0,41.2861,0,0.00118657,0.00118657,0.00118657
24,689.389,0,0,34.9175,0,0,0,0,0,0,0,0,0,0,0,41.2861,0,0.00122305,0.00122305,0.00122305
25,715.624,0,0,34.8494,0,0,0,0,0,0,0,0,0,0,0,40.7416,0,0.00125821,0.00125821,0.00125821
26,742.072,0,0,34.9007,0,0,0,0,0,0,0,0,0,0,0,40.7416,0,0.00125442,0.00125442,0.00125442
27,769.914,0,0,34.3982,0,0,0,0,0,0,0,0,0,0,0,47.1114,0,0.00123791,0.00123791,0.00123791
28,803.972,0,0,33.8942,0,0,0,0,0,0,0,0,0,0,0,47.1114,0,0.00122141,0.00122141,0.00122141
