epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0573,1.27974,3.44147,3.58167,1.37197,0.04211,0.38015,0.0909,0.05923,0.04089,0.36142,0.08506,0.05672,0.5926,1.49383,3.30065,0.9564,5.001e-05,5.001e-05,5.001e-05
2,45.472,1.05881,2.78644,3.43206,1.26129,0.05185,0.41794,0.15074,0.12949,0.04972,0.40235,0.14603,0.11093,0.67303,1.63343,3.20613,0.93057,0.000115535,0.000115535,0.000115535
3,63.9562,0.87288,2.14233,3.10203,1.132,0.05194,0.40989,0.195,0.17234,0.05152,0.40141,0.19227,0.13982,0.70242,1.78256,3.1196,0.92381,0.000179739,0.000179739,0.000179739
4,83.4834,0.89483,2.00276,2.95942,1.09811,0.06432,0.46013,0.22001,0.18182,0.06348,0.44988,0.21728,0.15725,0.75938,2.05036,3.02791,0.95606,0.000242624,0.000242624,0.000242624
5,102.238,0.84761,1.74914,2.6032,1.04149,0.0717,0.50733,0.22797,0.16736,0.06928,0.49665,0.22238,0.14109,0.906,2.46582,2.94114,1.01826,0.000304187,0.000304187,0.000304187
6,120.408,0.84449,1.61542,2.24896,1.0165,0.0645,0.49183,0.22867,0.17404,0.0612,0.4709,0.22013,0.13022,0.9073,2.76513,2.883,1.015,0.000364431,0.000364431,0.000364431
7,139.012,0.83188,1.56351,2.08986,1.01509,0.09974,0.63638,0.32089,0.24523,0.09602,0.61367,0.30603,0.17806,0.92684,2.73343,2.75103,1.02201,0.000423355,0.000423355,0.000423355
8,157.236,0.80568,1.47144,1.8466,1.00375,0.10923,0.72731,0.372,0.27788,0.10715,0.70502,0.36586,0.23027,0.92225,2.34535,2.69452,1.02452,0.000480958,0.000480958,0.000480958
9,176.358,0.83387,1.4319,1.70526,1.01245,0.12008,0.80306,0.41462,0.30204,0.11922,0.79951,0.40977,0.26916,0.92639,2.04109,2.64344,1.02823,0.000537241,0.000537241,0.000537241
10,195.063,0.84225,1.45295,1.6042,1.01264,0.54423,0.48824,0.4982,0.37249,0.5413,0.48646,0.49361,0.33003,0.9012,1.92883,2.55032,1.024,0.000592203,0.000592203,0.000592203
