epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.771,0.88209,2.00758,2.78632,1.0921,0.09741,0.77593,0.27277,0.22867,0.09556,0.76142,0.26757,0.18132,0.74553,1.99296,2.77545,0.93759,0.00043342,0.00043342,0.00043342
2,320.782,0.8693,1.4466,1.58673,1.02022,0.61886,0.66641,0.65387,0.5157,0.61684,0.66863,0.65443,0.46678,0.84842,1.78223,1.80505,0.99067,0.000874763,0.000874763,0.000874763
3,484.428,0.82936,1.2844,1.25572,1.01402,0.64111,0.62463,0.64092,0.51281,0.63508,0.61255,0.62512,0.41263,0.86322,2.08987,1.5403,1.05737,0.00130719,0.00130719,0.00130719
4,645.801,0.84138,1.29647,1.14749,1.0154,0.65719,0.71544,0.694,0.58053,0.65649,0.71447,0.69117,0.5407,0.7956,1.60832,1.4404,0.99058,0.00161749,0.00161749,0.00161749
5,806.401,0.76279,1.19811,1.05014,0.99378,0.71174,0.74343,0.76531,0.67143,0.72029,0.73681,0.76475,0.62444,0.6288,1.35299,1.24988,0.92384,0.00160099,0.00160099,0.00160099
6,966.192,0.71607,1.15266,0.99142,0.96725,0.7201,0.81039,0.80919,0.70768,0.72114,0.81136,0.807,0.66093,0.61243,1.22683,1.03023,0.90266,0.00158448,0.00158448,0.00158448
7,1129.57,0.698,1.12999,0.95829,0.96113,0.73447,0.81616,0.80812,0.7123,0.73385,0.81639,0.8061,0.68101,0.58533,1.10576,0.97192,0.90204,0.00156798,0.00156798,0.00156798
8,1291.16,0.6756,1.03964,0.92791,0.95254,0.72218,0.81202,0.8329,0.74398,0.72255,0.81234,0.83069,0.70607,0.55756,1.05045,0.97009,0.87967,0.00155148,0.00155148,0.00155148
9,1463.72,0.66846,1.05224,0.88475,0.93927,0.76009,0.79046,0.82676,0.74639,0.76044,0.79037,0.82485,0.71961,0.53312,1.00339,0.89939,0.87909,0.00153497,0.00153497,0.00153497
10,1631.72,0.63157,1.00052,0.86668,0.92874,0.78318,0.81427,0.83489,0.74611,0.78354,0.81459,0.83426,0.72688,0.53735,0.97113,0.88616,0.88057,0.00151847,0.00151847,0.00151847
11,1791.52,0.5981,0.90744,0.82469,0.91768,0.70322,0.86027,0.83048,0.74608,0.7046,0.86157,0.83046,0.69807,0.52412,1.13314,0.94315,0.88132,0.00150197,0.00150197,0.00150197
12,1952.35,0.62133,0.99835,0.79361,0.91415,0.80052,0.81041,0.83601,0.75802,0.8011,0.81205,0.83498,0.74434,0.51116,0.93317,0.88931,0.88207,0.00148546,0.00148546,0.00148546
13,2107.15,0.58978,0.91145,0.79693,0.91791,0.78382,0.82043,0.83995,0.76817,0.78418,0.82076,0.83806,0.74489,0.50107,0.94184,0.84391,0.88312,0.00146896,0.00146896,0.00146896
14,2260.72,0.59655,0.91503,0.77444,0.91081,0.7791,0.83981,0.85781,0.77253,0.7822,0.84076,0.85705,0.73849,0.51961,0.95444,0.82536,0.87721,0.00145246,0.00145246,0.00145246
15,2417.38,0.60347,0.92283,0.76709,0.90713,0.79247,0.83488,0.85833,0.78714,0.79349,0.8364,0.85862,0.74931,0.51029,0.99988,0.799,0.88647,0.00143595,0.00143595,0.00143595
16,2576.56,0.57996,0.9029,0.74266,0.90352,0.74,0.8625,0.84984,0.76932,0.74073,0.86166,0.84942,0.7363,0.49846,0.88106,0.86643,0.88144,0.00141945,0.00141945,0.00141945
17,2733.31,0.57994,0.90503,0.7244,0.90258,0.8085,0.84353,0.86847,0.79246,0.80892,0.84479,0.86778,0.76554,0.50758,0.82024,0.76333,0.886,0.00140295,0.00140295,0.00140295
18,2900.82,0.59855,0.92682,0.72278,0.90249,0.8135,0.80787,0.87224,0.79837,0.81436,0.80884,0.87208,0.78071,0.48834,0.85997,0.73588,0.86751,0.00138644,0.00138644,0.00138644
19,3065.22,0.56929,0.86603,0.70869,0.89881,0.80926,0.86088,0.89353,0.82188,0.81069,0.85876,0.8919,0.79742,0.48746,0.81929,0.69831,0.86509,0.00136994,0.00136994,0.00136994
20,3235.76,0.57533,0.85734,0.68165,0.89696,0.82602,0.80694,0.87168,0.78965,0.82583,0.80694,0.86935,0.76859,0.52409,0.82619,0.74954,0.88014,0.00135344,0.00135344,0.00135344
21,3398.7,0.57942,0.85375,0.7127,0.90164,0.79555,0.85259,0.87971,0.81784,0.79562,0.85353,0.87833,0.78822,0.46114,0.81919,0.71997,0.86291,0.00133693,0.00133693,0.00133693
22,3563.61,0.57595,0.86142,0.68147,0.89498,0.77699,0.84536,0.87077,0.79214,0.77666,0.84504,0.86887,0.77137,0.49342,0.87824,0.74948,0.87027,0.00132043,0.00132043,0.00132043
23,3725.99,0.57653,0.87409,0.69441,0.90205,0.80536,0.82754,0.85937,0.7893,0.79978,0.83236,0.8559,0.76874,0.47867,0.86547,0.75535,0.8674,0.00130393,0.00130393,0.00130393
24,3882.79,0.55793,0.83422,0.69735,0.89306,0.81555,0.83632,0.87676,0.8057,0.81524,0.83599,0.87703,0.78279,0.48546,0.8415,0.71034,0.86517,0.00128742,0.00128742,0.00128742
25,4037.15,0.56327,0.8235,0.67688,0.8947,0.84627,0.77844,0.87101,0.80848,0.8457,0.78024,0.87037,0.78097,0.46446,0.87341,0.73833,0.86589,0.00127092,0.00127092,0.00127092
26,4193.12,0.55592,0.82116,0.65164,0.88937,0.8107,0.83132,0.89985,0.82739,0.81226,0.83099,0.89934,0.79586,0.46925,0.85118,0.69178,0.86656,0.00125442,0.00125442,0.00125442
27,4343.8,0.53914,0.80105,0.66351,0.88856,0.80906,0.83114,0.87229,0.80612,0.8097,0.83179,0.87004,0.78493,0.47767,0.78362,0.69959,0.86613,0.00123791,0.00123791,0.00123791
